IID RAW_PRS PRS
controlindv0 0.4818551 -0.47080788
controlindv1 -8.023297 -0.2626837
controlindv2 -8.176937 -0.3269768
controlindv3 -5.637796 -0.24381
controlindv4 -4.8274954 -0.0906501
controlindv5 -0.820040000000001 -0.53034289
controlindv6 -5.0745175 -0.1078965
controlindv7 -8.531377 -0.1196269
controlindv8 -4.2408638 -0.0716099
controlindv9 -12.357252 0.00363146000000002
controlindv10 2.353723 -0.5445028
controlindv11 -2.8816734 -0.4578282
controlindv12 0.550121000000001 -0.4545431
controlindv13 -5.3236942 -0.3838803
controlindv14 -12.8970331 0.24797267
controlindv15 -0.8370086 -0.46071306
controlindv16 -0.312448000000001 -0.411495
controlindv17 -6.051764 -0.282899
controlindv18 -12.015932 0.00275583
controlindv19 0.67628996 -0.42296382
controlindv20 -7.384585 0.0261965
controlindv21 -5.0598614 -0.2656957
controlindv22 -2.727799 -0.4886643
controlindv23 -7.8806889 -0.29431792
controlindv24 -5.3538006 -0.24235
controlindv25 1.6090009 -0.5931713
controlindv26 -1.584953 -0.270642371
controlindv27 -2.093926 -0.58214369
controlindv28 -5.3420816 -0.34704933
controlindv29 -3.538592 -0.3252775
controlindv30 1.864958 -0.6708159
controlindv31 -5.115101 -0.1579454
controlindv32 -2.997247 -0.26211776
controlindv33 -1.35275 -0.48025536
controlindv34 -0.6488 -0.4494916
controlindv35 -3.331161 -0.25574836
controlindv36 -2.808779 -0.2636354
controlindv37 -3.210239 -0.09557514
controlindv38 2.57818 -0.45406002
controlindv39 2.43222743 -0.7714398
controlindv40 -0.208641 -0.5668466
controlindv41 0.3405703 -0.2531864
controlindv42 -8.691364 -0.17130597
controlindv43 -3.732135 -0.4129878
controlindv44 -0.0796030000000005 -0.3943809
controlindv45 -2.936553 -0.5083906
controlindv46 1.557572 -0.491900642
controlindv47 -3.616255 -0.4295579
controlindv48 -2.5994451 -0.4360209
controlindv49 -0.870420000000001 -0.3052139
controlindv50 -6.081939 -0.3204965
controlindv51 -0.571241000000001 -0.6235498
