IID RAW_PRS PRS
controlindv0 0.4818551 -0.5788617
controlindv1 -8.023297 -0.1189318
controlindv2 -8.176937 -0.3998926
controlindv3 -5.637796 -0.3373924
controlindv4 -4.8274954 0.0499573999999999
controlindv5 -0.820040000000001 -0.5451939
controlindv6 -5.0745175 0.01298066
controlindv7 -8.531377 0.0997071
controlindv8 -4.2408638 -0.0422773000000001
controlindv9 -12.357252 0.31935458
controlindv10 2.353723 -0.5109461
controlindv11 -2.8816734 -0.4176417
controlindv12 0.550121000000001 -0.6132785
controlindv13 -5.3236942 -0.3564267
controlindv14 -12.8970331 0.60345404
controlindv15 -0.8370086 -0.831129
controlindv16 -0.312448000000001 -0.3915333
controlindv17 -6.051764 -0.052105
controlindv18 -12.015932 0.2255854
controlindv19 0.67628996 -0.5825884
controlindv20 -7.384585 0.141888
controlindv21 -5.0598614 -0.373117
controlindv22 -2.727799 -0.5351395
controlindv23 -7.8806889 -0.1725796
controlindv24 -5.3538006 -0.2580693
controlindv25 1.6090009 -0.9166688
controlindv26 -1.584953 -0.30977812
controlindv27 -2.093926 -0.609637
controlindv28 -5.3420816 -0.5000989
controlindv29 -3.538592 -0.318645
controlindv30 1.864958 -1.0265042
controlindv31 -5.115101 0.01084508
controlindv32 -2.997247 -0.41177441
controlindv33 -1.35275 -0.5055961
controlindv34 -0.6488 -0.4523732
controlindv35 -3.331161 -0.33154449
controlindv36 -2.808779 -0.1779577
controlindv37 -3.210239 0.04684441
controlindv38 2.57818 -0.6243369
controlindv39 2.43222743 -0.9502849
controlindv40 -0.208641 -0.7478656
controlindv41 0.3405703 -0.5163868
controlindv42 -8.691364 0.2645852729
controlindv43 -3.732135 -0.4011991
controlindv44 -0.0796030000000005 -0.5452159
controlindv45 -2.936553 -0.6063045
controlindv46 1.557572 -0.7482194
controlindv47 -3.616255 -0.4662821
controlindv48 -2.5994451 -0.6949676
controlindv49 -0.870420000000001 -0.2794395
controlindv50 -6.081939 -0.2834281
controlindv51 -0.571241000000001 -0.9701095
controlindv52 3.211909 -1.17101562
controlindv53 2.69685671 -0.8555731
controlindv54 0.816567 -0.5588448
controlindv55 -6.53194077 -0.00201209999999996
controlindv56 0.750671 -0.425858
controlindv57 -0.560386 -0.19259671
controlindv58 2.21485 -0.5668611
controlindv59 1.678417 -1.0610601
controlindv60 -7.660395 -0.1558155
controlindv61 -5.5521679 -0.6860156
controlindv62 -5.948741 -0.48350134
controlindv63 -1.757022 -0.07613013
controlindv64 -9.6691757 -0.102448
controlindv65 3.628246 -0.6738604
controlindv66 4.966707 -0.5827691
controlindv67 0.00640000000000018 -0.6995823
controlindv68 0.366766899999999 -0.2120085
controlindv69 -1.3557392 0.0663971
controlindv70 -1.397787 -0.55464119
controlindv71 -3.273673 -0.11717828
controlindv72 2.141095 -0.892975
controlindv73 -5.95592532 -0.1940056
controlindv74 0.44365 -0.4209218
controlindv75 -5.437134 0.0494375000000001
controlindv76 -5.977385 -0.0470492
controlindv77 0.266094 -0.5996743
controlindv78 2.559829 -0.6720155
controlindv79 1.001324 -0.6136648
controlindv80 -1.038117 -0.49375217
controlindv81 3.273982 -0.85814548
controlindv82 4.677036 -0.5779963
controlindv83 -10.180553 0.3902173
controlindv84 -1.06983964 -0.553049
controlindv85 -4.562372 -0.09577231
controlindv86 -2.262156 -0.2243934
controlindv87 -3.971587 -0.6400286
controlindv88 5.910607 -0.7186982
controlindv89 -3.299311 0.092050319
controlindv90 -8.9502893 0.0733441
controlindv91 0.4790771 -0.3272
controlindv92 -9.482189 0.075701413
controlindv93 -2.3818188 -0.1540851
controlindv94 0.8523646 -0.6994663
controlindv95 -3.6766957 -0.3579976
