FID IID PRS
controlfamid0 controlindv0 -0.47080788
controlfamid1 controlindv1 -0.2626837
controlfamid2 controlindv2 -0.3269768
controlfamid3 controlindv3 -0.24381
controlfamid4 controlindv4 -0.0906501
controlfamid5 controlindv5 -0.53034289
controlfamid6 controlindv6 -0.1078965
controlfamid7 controlindv7 -0.1196269
controlfamid8 controlindv8 -0.0716099
controlfamid9 controlindv9 0.00363146000000002
controlfamid10 controlindv10 -0.5445028
controlfamid11 controlindv11 -0.4578282
controlfamid12 controlindv12 -0.4545431
controlfamid13 controlindv13 -0.3838803
controlfamid14 controlindv14 0.24797267
controlfamid15 controlindv15 -0.46071306
controlfamid16 controlindv16 -0.411495
controlfamid17 controlindv17 -0.282899
controlfamid18 controlindv18 0.00275583
controlfamid19 controlindv19 -0.42296382
controlfamid20 controlindv20 0.0261965
controlfamid21 controlindv21 -0.2656957
controlfamid22 controlindv22 -0.4886643
controlfamid23 controlindv23 -0.29431792
controlfamid24 controlindv24 -0.24235
controlfamid25 controlindv25 -0.5931713
controlfamid26 controlindv26 -0.270642371
controlfamid27 controlindv27 -0.58214369
controlfamid28 controlindv28 -0.34704933
controlfamid29 controlindv29 -0.3252775
controlfamid30 controlindv30 -0.6708159
controlfamid31 controlindv31 -0.1579454
controlfamid32 controlindv32 -0.26211776
controlfamid33 controlindv33 -0.48025536
controlfamid34 controlindv34 -0.4494916
controlfamid35 controlindv35 -0.25574836
controlfamid36 controlindv36 -0.2636354
controlfamid37 controlindv37 -0.09557514
controlfamid38 controlindv38 -0.45406002
controlfamid39 controlindv39 -0.7714398
controlfamid40 controlindv40 -0.5668466
controlfamid41 controlindv41 -0.2531864
controlfamid42 controlindv42 -0.17130597
controlfamid43 controlindv43 -0.4129878
controlfamid44 controlindv44 -0.3943809
controlfamid45 controlindv45 -0.5083906
controlfamid46 controlindv46 -0.491900642
controlfamid47 controlindv47 -0.4295579
controlfamid48 controlindv48 -0.4360209
controlfamid49 controlindv49 -0.3052139
controlfamid50 controlindv50 -0.3204965
controlfamid51 controlindv51 -0.6235498
controlfamid52 controlindv52 -0.8575549
controlfamid53 controlindv53 -0.5344013
controlfamid54 controlindv54 -0.4327022
controlfamid55 controlindv55 -0.08791542
controlfamid56 controlindv56 -0.231147441
controlfamid57 controlindv57 -0.19191228
controlfamid58 controlindv58 -0.402327517
controlfamid59 controlindv59 -0.7462589
controlfamid60 controlindv60 -0.24535791
controlfamid61 controlindv61 -0.62335639
controlfamid62 controlindv62 -0.44596755
controlfamid63 controlindv63 -0.1931348
controlfamid64 controlindv64 -0.2262922
controlfamid65 controlindv65 -0.4511428
controlfamid66 controlindv66 -0.465562
controlfamid67 controlindv67 -0.5842793
controlfamid68 controlindv68 -0.15798271
controlfamid69 controlindv69 -0.032281
controlfamid70 controlindv70 -0.552787412
controlfamid71 controlindv71 -0.2144017
controlfamid72 controlindv72 -0.612803631
controlfamid73 controlindv73 -0.2916495
controlfamid74 controlindv74 -0.304376
controlfamid75 controlindv75 -0.11945819
controlfamid76 controlindv76 -0.113492724
controlfamid77 controlindv77 -0.451222674
controlfamid78 controlindv78 -0.61215581
controlfamid79 controlindv79 -0.5405094
controlfamid80 controlindv80 -0.42050886
controlfamid81 controlindv81 -0.6762913
controlfamid82 controlindv82 -0.4444829
controlfamid83 controlindv83 0.05484254
controlfamid84 controlindv84 -0.43318905
controlfamid85 controlindv85 -0.22527351
controlfamid86 controlindv86 -0.39210295
controlfamid87 controlindv87 -0.54246748
controlfamid88 controlindv88 -0.51559063
controlfamid89 controlindv89 0.02143201
controlfamid90 controlindv90 -0.2287372
controlfamid91 controlindv91 -0.384099
controlfamid92 controlindv92 0.02366594
controlfamid93 controlindv93 -0.1712479
controlfamid94 controlindv94 -0.55196337
controlfamid95 controlindv95 -0.4160675
controlfamid96 controlindv96 -0.4229076
controlfamid97 controlindv97 -0.0824681
controlfamid98 controlindv98 -0.6299618
controlfamid99 controlindv99 -0.5089003
controlfamid100 controlindv100 -0.51661038
controlfamid101 controlindv101 -0.05078718
controlfamid102 controlindv102 -0.241024
controlfamid103 controlindv103 -0.16681956
controlfamid104 controlindv104 -0.418477
controlfamid105 controlindv105 -0.92891765
controlfamid106 controlindv106 -0.7932802
controlfamid107 controlindv107 -0.3335026
controlfamid108 controlindv108 -0.36565327
controlfamid109 controlindv109 -0.2285487
controlfamid110 controlindv110 -0.225712
controlfamid111 controlindv111 -0.77320024
controlfamid112 controlindv112 -0.57564413
controlfamid113 controlindv113 -0.77413771
controlfamid114 controlindv114 -0.4048896
controlfamid115 controlindv115 -0.14981516
controlfamid116 controlindv116 -0.1902969
controlfamid117 controlindv117 -0.6221252
controlfamid118 controlindv118 -0.5209294
controlfamid119 controlindv119 -0.514021201
controlfamid120 controlindv120 -0.34036128
controlfamid121 controlindv121 -0.64247399
controlfamid122 controlindv122 -0.569607111
controlfamid123 controlindv123 -0.433031
controlfamid124 controlindv124 -0.4354364
controlfamid125 controlindv125 -0.4152271
controlfamid126 controlindv126 -0.40821109
controlfamid127 controlindv127 -0.4505886
controlfamid128 controlindv128 -0.4016859
controlfamid129 controlindv129 -0.71732885
controlfamid130 controlindv130 -0.11363885
controlfamid131 controlindv131 -0.69744525
controlfamid132 controlindv132 -0.3044637
controlfamid133 controlindv133 -0.51373854
controlfamid134 controlindv134 -0.2889187
controlfamid135 controlindv135 -0.30452517
controlfamid136 controlindv136 -0.50732331
controlfamid137 controlindv137 -0.4358497
controlfamid138 controlindv138 -0.72945747
controlfamid139 controlindv139 -0.1573233
controlfamid140 controlindv140 -0.1560961
controlfamid141 controlindv141 -0.244972
controlfamid142 controlindv142 -0.11368607
controlfamid143 controlindv143 -0.23440423
controlfamid144 controlindv144 -0.17226422
controlfamid145 controlindv145 -0.1762749
controlfamid146 controlindv146 -0.34631171
controlfamid147 controlindv147 -0.40930991
controlfamid148 controlindv148 -0.3948627
controlfamid149 controlindv149 -0.3103361
controlfamid150 controlindv150 -0.11318559
controlfamid151 controlindv151 -0.2269444
controlfamid152 controlindv152 -0.583255902
controlfamid153 controlindv153 -0.81528383
controlfamid154 controlindv154 -0.269426447
controlfamid155 controlindv155 -0.1216603
controlfamid156 controlindv156 -0.319419901
controlfamid157 controlindv157 -0.58688167
controlfamid158 controlindv158 -0.74978804
controlfamid159 controlindv159 -0.2950636
controlfamid160 controlindv160 -0.554357761
controlfamid161 controlindv161 -0.0595476
controlfamid162 controlindv162 -0.60909272
controlfamid163 controlindv163 -0.81120156
controlfamid164 controlindv164 -0.49760537
controlfamid165 controlindv165 -0.75912212
controlfamid166 controlindv166 -0.3928525
controlfamid167 controlindv167 -0.6592377
controlfamid168 controlindv168 -0.47234517
controlfamid169 controlindv169 -0.55264898
controlfamid170 controlindv170 -0.49005523
controlfamid171 controlindv171 -0.4311994
controlfamid172 controlindv172 -0.40427148
controlfamid173 controlindv173 -0.4698497
controlfamid174 controlindv174 -0.56744951
controlfamid175 controlindv175 -0.40278356
controlfamid176 controlindv176 0.04985744
controlfamid177 controlindv177 -0.63882438
controlfamid178 controlindv178 -0.63091114
controlfamid179 controlindv179 -0.46686057
controlfamid180 controlindv180 -0.3957862
controlfamid181 controlindv181 -0.6042545
controlfamid182 controlindv182 -0.35765717
controlfamid183 controlindv183 -0.21297304
controlfamid184 controlindv184 -0.2504354
controlfamid185 controlindv185 -0.72888579
controlfamid186 controlindv186 -0.21163129
controlfamid187 controlindv187 -0.3021366
controlfamid188 controlindv188 0.08147527
controlfamid189 controlindv189 -0.5572459
controlfamid190 controlindv190 -0.5228565
controlfamid191 controlindv191 -0.52623178
controlfamid192 controlindv192 -0.52425652
controlfamid193 controlindv193 -0.56919526
controlfamid194 controlindv194 -0.6002246
controlfamid195 controlindv195 -0.2124617
controlfamid196 controlindv196 -0.4002165
controlfamid197 controlindv197 -0.26592553
controlfamid198 controlindv198 -0.42178751
controlfamid199 controlindv199 -0.558562
casefamid0 caseindv0 -0.47080788
casefamid1 caseindv1 -0.2626837
casefamid2 caseindv2 -0.3269768
casefamid3 caseindv3 -0.24381
casefamid4 caseindv4 -0.0906501
casefamid5 caseindv5 -0.53034289
casefamid6 caseindv6 -0.1078965
casefamid7 caseindv7 -0.1196269
casefamid8 caseindv8 -0.0716099
casefamid9 caseindv9 0.00363146000000002
casefamid10 caseindv10 -0.5445028
casefamid11 caseindv11 -0.4578282
casefamid12 caseindv12 -0.4545431
casefamid13 caseindv13 -0.3838803
casefamid14 caseindv14 0.24797267
casefamid15 caseindv15 -0.46071306
casefamid16 caseindv16 -0.411495
casefamid17 caseindv17 -0.282899
casefamid18 caseindv18 0.00275583
casefamid19 caseindv19 -0.42296382
casefamid20 caseindv20 0.0261965
casefamid21 caseindv21 -0.2656957
casefamid22 caseindv22 -0.4886643
casefamid23 caseindv23 -0.29431792
casefamid24 caseindv24 -0.24235
casefamid25 caseindv25 -0.5931713
casefamid26 caseindv26 -0.270642371
casefamid27 caseindv27 -0.58214369
casefamid28 caseindv28 -0.34704933
casefamid29 caseindv29 -0.3252775
casefamid30 caseindv30 -0.6708159
casefamid31 caseindv31 -0.1579454
casefamid32 caseindv32 -0.26211776
casefamid33 caseindv33 -0.48025536
