FID IID PRS
controlfamid0 controlindv0 -0.3998196
controlfamid1 controlindv1 0.06434284
controlfamid2 controlindv2 -0.1631247
controlfamid3 controlindv3 -0.2560879
controlfamid4 controlindv4 0.1014283
controlfamid5 controlindv5 -0.3330602
controlfamid6 controlindv6 0.0822139999999999
controlfamid7 controlindv7 0.35924866
controlfamid8 controlindv8 0.06031773
controlfamid9 controlindv9 0.543456
controlfamid10 controlindv10 -0.2720293
controlfamid11 controlindv11 -0.2028562
controlfamid12 controlindv12 -0.495483
controlfamid13 controlindv13 -0.2936755
controlfamid14 controlindv14 0.65546655
controlfamid15 controlindv15 -0.7614388
controlfamid16 controlindv16 -0.1265585
controlfamid17 controlindv17 0.2122685
controlfamid18 controlindv18 0.42028376
controlfamid19 controlindv19 -0.4513835
controlfamid20 controlindv20 0.09817017
controlfamid21 controlindv21 -0.3597376
controlfamid22 controlindv22 -0.3771585
controlfamid23 controlindv23 0.0352301
controlfamid24 controlindv24 0.0155477
controlfamid25 controlindv25 -0.822641
controlfamid26 controlindv26 -0.28450276
controlfamid27 controlindv27 -0.3497894
controlfamid28 controlindv28 -0.3730855
controlfamid29 controlindv29 -0.2314034
controlfamid30 controlindv30 -0.8769057
controlfamid31 controlindv31 0.14210424
controlfamid32 controlindv32 -0.35138905
controlfamid33 controlindv33 -0.2926975
controlfamid34 controlindv34 -0.41761625
controlfamid35 controlindv35 -0.16540997
controlfamid36 controlindv36 -0.02188167
controlfamid37 controlindv37 0.192509
controlfamid38 controlindv38 -0.5016936
controlfamid39 controlindv39 -0.7246417
controlfamid40 controlindv40 -0.5987609
controlfamid41 controlindv41 -0.4392518
controlfamid42 controlindv42 0.3465418
controlfamid43 controlindv43 -0.3220055
controlfamid44 controlindv44 -0.3345787
controlfamid45 controlindv45 -0.3551571
controlfamid46 controlindv46 -0.5310702
controlfamid47 controlindv47 -0.3292981
controlfamid48 controlindv48 -0.6249633
controlfamid49 controlindv49 -0.0777734999999999
controlfamid50 controlindv50 -0.01683843
controlfamid51 controlindv51 -0.7389102
controlfamid52 controlindv52 -0.9064924
controlfamid53 controlindv53 -0.69039225031
controlfamid54 controlindv54 -0.3982608
controlfamid55 controlindv55 0.1612179
controlfamid56 controlindv56 -0.3404571
controlfamid57 controlindv57 -0.17806846
controlfamid58 controlindv58 -0.3958841
controlfamid59 controlindv59 -0.8156653
controlfamid60 controlindv60 -0.0716969
controlfamid61 controlindv61 -0.4392033
controlfamid62 controlindv62 -0.2907606
controlfamid63 controlindv63 0.1989307
controlfamid64 controlindv64 0.0800688999999999
controlfamid65 controlindv65 -0.4185461
controlfamid66 controlindv66 -0.4172812
controlfamid67 controlindv67 -0.5644174
controlfamid68 controlindv68 -0.05894951
controlfamid69 controlindv69 0.11885783
controlfamid70 controlindv70 -0.26558067
controlfamid71 controlindv71 0.0880706000000001
controlfamid72 controlindv72 -0.7087287
controlfamid73 controlindv73 0.0296528999999999
controlfamid74 controlindv74 -0.20556081
controlfamid75 controlindv75 0.1914093
controlfamid76 controlindv76 -0.09533906
controlfamid77 controlindv77 -0.5046618
controlfamid78 controlindv78 -0.4783806
controlfamid79 controlindv79 -0.3899053
controlfamid80 controlindv80 -0.1963443
controlfamid81 controlindv81 -0.7338648
controlfamid82 controlindv82 -0.4447641
controlfamid83 controlindv83 0.53032588
controlfamid84 controlindv84 -0.4061043
controlfamid85 controlindv85 0.0942084
controlfamid86 controlindv86 0.1405178
controlfamid87 controlindv87 -0.4920182
controlfamid88 controlindv88 -0.5721871
controlfamid89 controlindv89 0.1754027
controlfamid90 controlindv90 0.37153246
controlfamid91 controlindv91 -0.1722163
controlfamid92 controlindv92 0.14414676
controlfamid93 controlindv93 -0.0375915000000001
controlfamid94 controlindv94 -0.4596245
controlfamid95 controlindv95 -0.1845609
controlfamid96 controlindv96 -0.4058835
controlfamid97 controlindv97 0.00046215000000005
controlfamid98 controlindv98 -0.8008591
controlfamid99 controlindv99 -0.174105
controlfamid100 controlindv100 -0.6185804
controlfamid101 controlindv101 0.0410942
controlfamid102 controlindv102 0.02402517
controlfamid103 controlindv103 0.13385735
controlfamid104 controlindv104 -0.2504678
controlfamid105 controlindv105 -0.8581687
controlfamid106 controlindv106 -0.75065145
controlfamid107 controlindv107 -0.30022303
controlfamid108 controlindv108 -0.22262581
controlfamid109 controlindv109 -0.12435284
controlfamid110 controlindv110 0.1028045
controlfamid111 controlindv111 -0.7848782
controlfamid112 controlindv112 -0.6545726
controlfamid113 controlindv113 -0.99248882
controlfamid114 controlindv114 -0.1054839
controlfamid115 controlindv115 -0.3299372
controlfamid116 controlindv116 0.022530765
controlfamid117 controlindv117 -0.5920303
controlfamid118 controlindv118 -0.4418686
controlfamid119 controlindv119 -0.46710394
controlfamid120 controlindv120 0.0079956599999999
controlfamid121 controlindv121 -0.6011887
controlfamid122 controlindv122 -0.6104799
controlfamid123 controlindv123 -0.5769848
controlfamid124 controlindv124 -0.000158000000000075
controlfamid125 controlindv125 -0.3345364
controlfamid126 controlindv126 -0.10431257
controlfamid127 controlindv127 -0.4714176
controlfamid128 controlindv128 0.0240549
controlfamid129 controlindv129 -0.7606725
controlfamid130 controlindv130 0.0702632
controlfamid131 controlindv131 -0.614282
controlfamid132 controlindv132 -0.15199963
controlfamid133 controlindv133 -0.5937425
controlfamid134 controlindv134 -0.25742738
controlfamid135 controlindv135 -0.24417312
controlfamid136 controlindv136 -0.4198142
controlfamid137 controlindv137 -0.4207393
controlfamid138 controlindv138 -0.8286753
controlfamid139 controlindv139 -0.3230687
controlfamid140 controlindv140 0.2399394
controlfamid141 controlindv141 -0.2926621
controlfamid142 controlindv142 0.213844
controlfamid143 controlindv143 -0.02635359
controlfamid144 controlindv144 -0.0570282
controlfamid145 controlindv145 -0.0318845
controlfamid146 controlindv146 -0.29471314
controlfamid147 controlindv147 -0.3128844
controlfamid148 controlindv148 -0.4297671
controlfamid149 controlindv149 -0.4355299
controlfamid150 controlindv150 0.0345315
controlfamid151 controlindv151 0.05856113
controlfamid152 controlindv152 -0.88719021
controlfamid153 controlindv153 -0.7851296
controlfamid154 controlindv154 0.025273
controlfamid155 controlindv155 -0.0714266
controlfamid156 controlindv156 -0.2027224
controlfamid157 controlindv157 -0.7633509
controlfamid158 controlindv158 -0.9037011
controlfamid159 controlindv159 -0.1929798
controlfamid160 controlindv160 -0.5766004
controlfamid161 controlindv161 0.0385972999999999
controlfamid162 controlindv162 -0.34738815
controlfamid163 controlindv163 -0.7711365
controlfamid164 controlindv164 -0.1733537
controlfamid165 controlindv165 -0.50598732
controlfamid166 controlindv166 -0.0912422
controlfamid167 controlindv167 -0.4005148
controlfamid168 controlindv168 -0.6938042
controlfamid169 controlindv169 -0.5404699
controlfamid170 controlindv170 -0.4693575
controlfamid171 controlindv171 -0.3054043
controlfamid172 controlindv172 -0.507684
controlfamid173 controlindv173 -0.1804603
controlfamid174 controlindv174 -0.48329195
controlfamid175 controlindv175 -0.3826169
controlfamid176 controlindv176 0.4853335
controlfamid177 controlindv177 -0.3028092
controlfamid178 controlindv178 -0.8759792
controlfamid179 controlindv179 -0.2688936
controlfamid180 controlindv180 -0.28132234
controlfamid181 controlindv181 -0.6284475
controlfamid182 controlindv182 -0.3468291
controlfamid183 controlindv183 0.02413058
controlfamid184 controlindv184 -0.1565772
controlfamid185 controlindv185 -0.7796432
controlfamid186 controlindv186 -0.381155761
controlfamid187 controlindv187 -0.0487571000000001
controlfamid188 controlindv188 0.26297551
controlfamid189 controlindv189 -0.4932032
controlfamid190 controlindv190 -0.4197762
controlfamid191 controlindv191 -0.38612429
controlfamid192 controlindv192 -0.47159747
controlfamid193 controlindv193 -0.5552352
controlfamid194 controlindv194 -0.4804019
controlfamid195 controlindv195 -0.4325781
controlfamid196 controlindv196 -0.1929767
controlfamid197 controlindv197 -0.054873336
controlfamid198 controlindv198 -0.482007
controlfamid199 controlindv199 -0.5912227
casefamid0 caseindv0 -0.3998196
casefamid1 caseindv1 0.06434284
casefamid2 caseindv2 -0.1631247
casefamid3 caseindv3 -0.2560879
casefamid4 caseindv4 0.1014283
casefamid5 caseindv5 -0.3330602
casefamid6 caseindv6 0.0822139999999999
casefamid7 caseindv7 0.35924866
casefamid8 caseindv8 0.06031773
casefamid9 caseindv9 0.543456
casefamid10 caseindv10 -0.2720293
casefamid11 caseindv11 -0.2028562
casefamid12 caseindv12 -0.495483
casefamid13 caseindv13 -0.2936755
casefamid14 caseindv14 0.65546655
casefamid15 caseindv15 -0.7614388
casefamid16 caseindv16 -0.1265585
casefamid17 caseindv17 0.2122685
casefamid18 caseindv18 0.42028376
casefamid19 caseindv19 -0.4513835
casefamid20 caseindv20 0.09817017
casefamid21 caseindv21 -0.3597376
casefamid22 caseindv22 -0.3771585
casefamid23 caseindv23 0.0352301
casefamid24 caseindv24 0.0155477
casefamid25 caseindv25 -0.822641
casefamid26 caseindv26 -0.28450276
casefamid27 caseindv27 -0.3497894
casefamid28 caseindv28 -0.3730855
casefamid29 caseindv29 -0.2314034
casefamid30 caseindv30 -0.8769057
casefamid31 caseindv31 0.14210424
casefamid32 caseindv32 -0.35138905
casefamid33 caseindv33 -0.2926975
casefamid34 caseindv34 -0.41761625
casefamid35 caseindv35 -0.16540997
casefamid36 caseindv36 -0.02188167
casefamid37 caseindv37 0.192509
casefamid38 caseindv38 -0.5016936
casefamid39 caseindv39 -0.7246417
casefamid40 caseindv40 -0.5987609
casefamid41 caseindv41 -0.4392518
casefamid42 caseindv42 0.3465418
casefamid43 caseindv43 -0.3220055
casefamid44 caseindv44 -0.3345787
casefamid45 caseindv45 -0.3551571
casefamid46 caseindv46 -0.5310702
casefamid47 caseindv47 -0.3292981
casefamid48 caseindv48 -0.6249633
casefamid49 caseindv49 -0.0777734999999999
casefamid50 caseindv50 -0.01683843
casefamid51 caseindv51 -0.7389102
casefamid52 caseindv52 -0.9064924
casefamid53 caseindv53 -0.69039225031
casefamid54 caseindv54 -0.3982608
casefamid55 caseindv55 0.1612179
casefamid56 caseindv56 -0.3404571
casefamid57 caseindv57 -0.17806846
casefamid58 caseindv58 -0.3958841
casefamid59 caseindv59 -0.8156653
casefamid60 caseindv60 -0.0716969
casefamid61 caseindv61 -0.4392033
casefamid62 caseindv62 -0.2907606
casefamid63 caseindv63 0.1989307
casefamid64 caseindv64 0.0800688999999999
casefamid65 caseindv65 -0.4185461
casefamid66 caseindv66 -0.4172812
casefamid67 caseindv67 -0.5644174
casefamid68 caseindv68 -0.05894951
casefamid69 caseindv69 0.11885783
casefamid70 caseindv70 -0.26558067
casefamid71 caseindv71 0.0880706000000001
casefamid72 caseindv72 -0.7087287
casefamid73 caseindv73 0.0296528999999999
casefamid74 caseindv74 -0.20556081
casefamid75 caseindv75 0.1914093
casefamid76 caseindv76 -0.09533906
casefamid77 caseindv77 -0.5046618
casefamid78 caseindv78 -0.4783806
casefamid79 caseindv79 -0.3899053
casefamid80 caseindv80 -0.1963443
casefamid81 caseindv81 -0.7338648
casefamid82 caseindv82 -0.4447641
casefamid83 caseindv83 0.53032588
casefamid84 caseindv84 -0.4061043
casefamid85 caseindv85 0.0942084
casefamid86 caseindv86 0.1405178
casefamid87 caseindv87 -0.4920182
casefamid88 caseindv88 -0.5721871
casefamid89 caseindv89 0.1754027
casefamid90 caseindv90 0.37153246
casefamid91 caseindv91 -0.1722163
casefamid92 caseindv92 0.14414676
casefamid93 caseindv93 -0.0375915000000001
casefamid94 caseindv94 -0.4596245
casefamid95 caseindv95 -0.1845609
casefamid96 caseindv96 -0.4058835
casefamid97 caseindv97 0.00046215000000005
casefamid98 caseindv98 -0.8008591
casefamid99 caseindv99 -0.174105
casefamid100 caseindv100 -0.6185804
casefamid101 caseindv101 0.0410942
casefamid102 caseindv102 0.02402517
casefamid103 caseindv103 0.13385735
casefamid104 caseindv104 -0.2504678
casefamid105 caseindv105 -0.8581687
casefamid106 caseindv106 -0.75065145
casefamid107 caseindv107 -0.30022303
casefamid108 caseindv108 -0.22262581
casefamid109 caseindv109 -0.12435284
casefamid110 caseindv110 0.1028045
casefamid111 caseindv111 -0.7848782
casefamid112 caseindv112 -0.6545726
casefamid113 caseindv113 -0.99248882
casefamid114 caseindv114 -0.1054839
casefamid115 caseindv115 -0.3299372
casefamid116 caseindv116 0.022530765
casefamid117 caseindv117 -0.5920303
casefamid118 caseindv118 -0.4418686
casefamid119 caseindv119 -0.46710394
casefamid120 caseindv120 0.0079956599999999
casefamid121 caseindv121 -0.6011887
casefamid122 caseindv122 -0.6104799
casefamid123 caseindv123 -0.5769848
casefamid124 caseindv124 -0.000158000000000075
casefamid125 caseindv125 -0.3345364
casefamid126 caseindv126 -0.10431257
casefamid127 caseindv127 -0.4714176
casefamid128 caseindv128 0.0240549
casefamid129 caseindv129 -0.7606725
casefamid130 caseindv130 0.0702632
casefamid131 caseindv131 -0.614282
casefamid132 caseindv132 -0.15199963
casefamid133 caseindv133 -0.5937425
casefamid134 caseindv134 -0.25742738
casefamid135 caseindv135 -0.24417312
casefamid136 caseindv136 -0.4198142
casefamid137 caseindv137 -0.4207393
casefamid138 caseindv138 -0.8286753
casefamid139 caseindv139 -0.3230687
casefamid140 caseindv140 0.2399394
casefamid141 caseindv141 -0.2926621
casefamid142 caseindv142 0.213844
casefamid143 caseindv143 -0.02635359
casefamid144 caseindv144 -0.0570282
casefamid145 caseindv145 -0.0318845
casefamid146 caseindv146 -0.29471314
casefamid147 caseindv147 -0.3128844
casefamid148 caseindv148 -0.4297671
casefamid149 caseindv149 -0.4355299
casefamid150 caseindv150 0.0345315
casefamid151 caseindv151 0.05856113
casefamid152 caseindv152 -0.88719021
casefamid153 caseindv153 -0.7851296
casefamid154 caseindv154 0.025273
casefamid155 caseindv155 -0.0714266
casefamid156 caseindv156 -0.2027224
casefamid157 caseindv157 -0.7633509
casefamid158 caseindv158 -0.9037011
casefamid159 caseindv159 -0.1929798
casefamid160 caseindv160 -0.5766004
casefamid161 caseindv161 0.0385972999999999
casefamid162 caseindv162 -0.34738815
casefamid163 caseindv163 -0.7711365
casefamid164 caseindv164 -0.1733537
casefamid165 caseindv165 -0.50598732
casefamid166 caseindv166 -0.0912422
casefamid167 caseindv167 -0.4005148
casefamid168 caseindv168 -0.6938042
casefamid169 caseindv169 -0.5404699
casefamid170 caseindv170 -0.4693575
casefamid171 caseindv171 -0.3054043
casefamid172 caseindv172 -0.507684
casefamid173 caseindv173 -0.1804603
casefamid174 caseindv174 -0.48329195
casefamid175 caseindv175 -0.3826169
casefamid176 caseindv176 0.4853335
casefamid177 caseindv177 -0.3028092
casefamid178 caseindv178 -0.8759792
casefamid179 caseindv179 -0.2688936
casefamid180 caseindv180 -0.28132234
casefamid181 caseindv181 -0.6284475
casefamid182 caseindv182 -0.3468291
casefamid183 caseindv183 0.02413058
casefamid184 caseindv184 -0.1565772
casefamid185 caseindv185 -0.7796432
casefamid186 caseindv186 -0.381155761
casefamid187 caseindv187 -0.0487571000000001
casefamid188 caseindv188 0.26297551
casefamid189 caseindv189 -0.4932032
casefamid190 caseindv190 -0.4197762
casefamid191 caseindv191 -0.38612429
casefamid192 caseindv192 -0.47159747
casefamid193 caseindv193 -0.5552352
casefamid194 caseindv194 -0.4804019
casefamid195 caseindv195 -0.4325781
casefamid196 caseindv196 -0.1929767
casefamid197 caseindv197 -0.054873336
casefamid198 caseindv198 -0.482007
casefamid199 caseindv199 -0.5912227
